Task,Model,Feature,Importance
Batting,CatBoost,Batting Avg,39.22016293926949
Batting,CatBoost,Avg Batting Points (10),32.64393669442197
Batting,CatBoost,Dismissal Rate,19.31168268768614
Batting,CatBoost,Batting S/R,2.6188568042955573
Batting,CatBoost,Boundary %,1.5840844154500684
Batting,CatBoost,Games,0.8900643069742876
Batting,CatBoost,Avg Batting Points (3),0.6526999968642165
Batting,CatBoost,Role,0.4522148786982176
Batting,CatBoost,Points vs India,0.22171495020641024
Batting,CatBoost,Points vs South Africa,0.19452899925881195
Batting,CatBoost,Points vs England,0.19244917141581652
Batting,CatBoost,Points vs United Arab Emirates,0.19220057811532656
Batting,CatBoost,Points vs Scotland,0.17751393772499485
Batting,CatBoost,Points vs West Indies,0.14844580120327264
Batting,CatBoost,Points vs New Zealand,0.13540086370276905
Batting,CatBoost,Points vs Australia,0.13393187449952598
Batting,CatBoost,Points vs Bangladesh,0.11105347372612655
Batting,CatBoost,Points vs Ireland,0.10484849436294959
Batting,CatBoost,Points vs Germany,0.10252856553454683
Batting,CatBoost,Points vs Sri Lanka,0.081955704217613
Batting,CatBoost,Points vs Cambodia,0.06280108402867955
Batting,CatBoost,Points vs Indonesia,0.04893851166717198
Batting,CatBoost,Points vs Netherlands,0.048373705405211215
Batting,CatBoost,Points vs Zimbabwe,0.045531965596531755
Batting,CatBoost,Points vs Guernsey,0.04235640207819682
Batting,CatBoost,Points vs Tanzania,0.04053850020201333
Batting,CatBoost,Points vs Cyprus,0.038888383026174145
Batting,CatBoost,Points vs Estonia,0.03698584938471817
Batting,CatBoost,Points vs Papua New Guinea,0.036919013475640895
Batting,CatBoost,Points vs Kenya,0.033399293320924596
Batting,CatBoost,Points vs Pakistan,0.025444144925553105
Batting,CatBoost,Points vs Thailand,0.024062221735717176
Batting,CatBoost,Points vs Jersey,0.020526444763706745
Batting,CatBoost,Points vs Canada,0.019487373851683407
Batting,CatBoost,Points vs France,0.018733259262101454
Batting,CatBoost,Points vs Hungary,0.016217781343963854
Batting,CatBoost,Points vs Malta,0.01552422405116149
Batting,CatBoost,Points vs Spain,0.015302450468020458
Batting,CatBoost,Points vs Uganda,0.01420476442454757
Batting,CatBoost,Points vs United States of America,0.013176865568346645
Batting,CatBoost,Points vs Norway,0.012885156891165452
Batting,CatBoost,Points vs Cayman Islands,0.011476861023054131
Batting,CatBoost,Points vs Japan,0.010204336479996053
Batting,CatBoost,Points vs Belgium,0.009544912852458069
Batting,CatBoost,Points vs Malaysia,0.009508880546756592
Batting,CatBoost,Points vs Turkey,0.00923506602650103
Batting,CatBoost,Points vs Serbia,0.008983767456434429
Batting,CatBoost,Points vs Kuwait,0.008689058477180722
Batting,CatBoost,Points vs Bermuda,0.008244176921677327
Batting,CatBoost,Points vs Oman,0.007961535675154589
Batting,CatBoost,Points vs Romania,0.007915024890194177
Batting,CatBoost,Points vs Greece,0.0076587959962449844
Batting,CatBoost,Points vs Austria,0.007271633587725424
Batting,CatBoost,Points vs Lesotho,0.006915270835978436
Batting,CatBoost,Points vs Slovenia,0.006774582476267436
Batting,CatBoost,Points vs Nepal,0.006493587786776881
Batting,CatBoost,Points vs Vanuatu,0.0063772341025996465
Batting,CatBoost,Points vs Rwanda,0.006004088849638942
Batting,CatBoost,Points vs Sweden,0.005364463595284618
Batting,CatBoost,Points vs Barbados,0.004995214609614189
Batting,CatBoost,Points vs Bahrain,0.004278935777456538
Batting,CatBoost,Points vs Samoa,0.003505427263263205
Batting,CatBoost,Points vs Brazil,0.003012685806358301
Batting,CatBoost,Points vs Singapore,0.002855715617686356
Batting,CatBoost,Points vs Czech Republic,0.0024931845120041334
Batting,CatBoost,Points vs Portugal,0.0024110293079468315
Batting,CatBoost,Points vs ICC World XI,0.0023107456431786326
Batting,CatBoost,Points vs Switzerland,0.002245513191495433
Batting,CatBoost,Points vs Qatar,0.0018661575612914166
Batting,CatBoost,Points vs Argentina,0.001859417009814133
Batting,CatBoost,Points vs Myanmar,0.0014944913693388864
Batting,CatBoost,Points vs Bhutan,0.0013852071161711927
Batting,CatBoost,Points vs Namibia,0.001292741048077955
Batting,CatBoost,Points vs Italy,0.0012895141268822923
Batting,CatBoost,Points vs Fiji,0.001183230747130249
Batting,CatBoost,Points vs Botswana,0.001125905636181265
Batting,CatBoost,Points vs Malawi,0.001123288111902184
Batting,CatBoost,Points vs Cook Islands,0.0010999309869909612
Batting,CatBoost,Points vs Philippines,0.0010180169355814167
Batting,CatBoost,Points vs Mexico,0.0009208634400935805
Batting,CatBoost,Points vs Nigeria,0.0009130211697751095
Batting,CatBoost,Points vs Belize,0.000896202649236161
Batting,CatBoost,Points vs Suriname,0.0008722363884596802
Batting,CatBoost,Points vs Luxembourg,0.0008220350039112757
Batting,CatBoost,Points vs Bahamas,0.0008081755574101456
Batting,CatBoost,Points vs Denmark,0.0008069594121586645
Batting,CatBoost,Points vs Maldives,0.0006679030354440602
Batting,CatBoost,Points vs Panama,0.0005981235495527832
Batting,CatBoost,Points vs Iran,0.0005556098057006685
Batting,CatBoost,Points vs China,0.0005522441018706309
Batting,CatBoost,Points vs Hong Kong,0.0004946834822732075
Batting,CatBoost,Points vs Ghana,0.00048491675423516386
Batting,CatBoost,Points vs Isle of Man,0.00047874069833182245
Batting,CatBoost,Points vs Cameroon,0.00041693263797054115
Batting,CatBoost,Points vs South Korea,0.00040535224861030123
Batting,CatBoost,Points vs Sierra Leone,0.0002708091591204952
Batting,CatBoost,Points vs Gambia,0.00022984094823038254
Batting,CatBoost,Points vs Bulgaria,0.00018034268974179512
Batting,CatBoost,Points vs Saudi Arabia,0.00015691358316003172
Batting,CatBoost,Points vs Swaziland,0.0001427684442794964
Batting,CatBoost,Points vs Mali,9.408083353610308e-05
Batting,CatBoost,Points vs Asia XI,8.975350003427408e-05
Batting,CatBoost,Points vs Croatia,8.907781881133361e-05
Batting,CatBoost,Points vs Finland,1.0250030418822351e-05
Batting,CatBoost,Points vs Africa XI,0.0
Batting,CatBoost,Points vs St Helena,0.0
Batting,CatBoost,Points vs Gibraltar,0.0
Batting,CatBoost,Points vs Israel,0.0
Batting,CatBoost,Points vs Mongolia,0.0
Batting,CatBoost,Points vs Seychelles,0.0
Batting,CatBoost,Points vs Mozambique,0.0
Batting,CatBoost,Points vs Turks and Caicos Island,0.0
Batting,CatBoost,Points vs Eswatini,0.0
Batting,CatBoost,Points vs Ivory Coast,0.0
Batting,CatBoost,Points vs Chile,0.0
Batting,CatBoost,Points vs Costa Rica,0.0
Batting,RandomForest,Avg Batting Points (10),0.23463860910453319
Batting,RandomForest,Batting Avg,0.2066449250800616
Batting,RandomForest,Avg Batting Points (3),0.12312978673332861
Batting,RandomForest,Dismissal Rate,0.0887723072537966
Batting,RandomForest,Boundary %,0.062027270463825175
Batting,RandomForest,Batting S/R,0.04175257291938737
Batting,RandomForest,Role,0.029299325294199555
Batting,RandomForest,Games,0.018406428240315055
Batting,RandomForest,Points vs India,0.016336520332049995
Batting,RandomForest,Points vs West Indies,0.0159365053842987
Batting,RandomForest,Points vs England,0.013659542737668047
Batting,RandomForest,Points vs Bangladesh,0.013577963181451554
Batting,RandomForest,Points vs New Zealand,0.012773806689698412
Batting,RandomForest,Points vs Australia,0.012698442933086872
Batting,RandomForest,Points vs Sri Lanka,0.011316419993454993
Batting,RandomForest,Points vs Pakistan,0.010776065442435779
Batting,RandomForest,Points vs South Africa,0.010446503324137673
Batting,RandomForest,Points vs Zimbabwe,0.007076920568703952
Batting,RandomForest,Points vs Ireland,0.005995739458714127
Batting,RandomForest,Points vs Netherlands,0.004157567341109018
Batting,RandomForest,Points vs Scotland,0.003596283796014991
Batting,RandomForest,Points vs United Arab Emirates,0.0027057416654046643
Batting,RandomForest,Points vs Canada,0.0020783136793913488
Batting,RandomForest,Points vs Namibia,0.0020211274390067985
Batting,RandomForest,Points vs Nepal,0.0019957427625346986
Batting,RandomForest,Points vs Kenya,0.0018398574862578505
Batting,RandomForest,Points vs Thailand,0.0017635226263066164
Batting,RandomForest,Points vs Oman,0.0015743985162988451
Batting,RandomForest,Points vs Hong Kong,0.0014834603698415006
Batting,RandomForest,Points vs United States of America,0.0014325264616213158
Batting,RandomForest,Points vs Uganda,0.0012037820197335425
Batting,RandomForest,Points vs Malaysia,0.001135562729778071
Batting,RandomForest,Points vs Papua New Guinea,0.0011236408091584754
Batting,RandomForest,Points vs Belgium,0.0009980545670729552
Batting,RandomForest,Points vs Malta,0.0008882994004828845
Batting,RandomForest,Points vs Romania,0.0008107359010521528
Batting,RandomForest,Points vs Singapore,0.0007981099011749609
Batting,RandomForest,Points vs Jersey,0.0007949829033257426
Batting,RandomForest,Points vs Gibraltar,0.0007876780060680196
Batting,RandomForest,Points vs Tanzania,0.0007659039286055106
Batting,RandomForest,Points vs Hungary,0.0007579886533616684
Batting,RandomForest,Points vs Greece,0.0007562763796403073
Batting,RandomForest,Points vs Switzerland,0.0007562435906343952
Batting,RandomForest,Points vs France,0.000731654946144332
Batting,RandomForest,Points vs Nigeria,0.0007302477542964779
Batting,RandomForest,Points vs Germany,0.0007264472124736983
Batting,RandomForest,Points vs Bermuda,0.0007247326214018457
Batting,RandomForest,Points vs Vanuatu,0.0007247170707842262
Batting,RandomForest,Points vs Luxembourg,0.00070668175757767
Batting,RandomForest,Points vs Isle of Man,0.0006982796123518873
Batting,RandomForest,Points vs Austria,0.0006843716747940067
Batting,RandomForest,Points vs ICC World XI,0.0006782212604456209
Batting,RandomForest,Points vs Sweden,0.0006689400994592643
Batting,RandomForest,Points vs Bahrain,0.000663897284765624
Batting,RandomForest,Points vs Turkey,0.0006181045915002027
Batting,RandomForest,Points vs Japan,0.0005813229560305087
Batting,RandomForest,Points vs Guernsey,0.0005713950933767793
Batting,RandomForest,Points vs Slovenia,0.0005662735132335326
Batting,RandomForest,Points vs Kuwait,0.0005630290537859586
Batting,RandomForest,Points vs Rwanda,0.000541532894735097
Batting,RandomForest,Points vs Fiji,0.0005315990355576987
Batting,RandomForest,Points vs Finland,0.0005287091040320968
Batting,RandomForest,Points vs Botswana,0.0005277947214704041
Batting,RandomForest,Points vs Cook Islands,0.0005222878299792693
Batting,RandomForest,Points vs Spain,0.0005207405960361123
Batting,RandomForest,Points vs Czech Republic,0.0005205399626628106
Batting,RandomForest,Points vs Denmark,0.0005151182313230494
Batting,RandomForest,Points vs Estonia,0.0004996788361230685
Batting,RandomForest,Points vs Cameroon,0.0004950173489877543
Batting,RandomForest,Points vs Italy,0.0004901381492415966
Batting,RandomForest,Points vs Bulgaria,0.00048430352207472536
Batting,RandomForest,Points vs Norway,0.0004612521513127389
Batting,RandomForest,Points vs Saudi Arabia,0.0004550413535953564
Batting,RandomForest,Points vs Samoa,0.00045366127289130944
Batting,RandomForest,Points vs Qatar,0.0004478571366506726
Batting,RandomForest,Points vs Serbia,0.00043390205123788417
Batting,RandomForest,Points vs Malawi,0.0004288205837196968
Batting,RandomForest,Points vs Indonesia,0.00041123720278609044
Batting,RandomForest,Points vs Sierra Leone,0.00037322399720839393
Batting,RandomForest,Points vs Bhutan,0.0003621257892973544
Batting,RandomForest,Points vs Philippines,0.00036076644827050453
Batting,RandomForest,Points vs Portugal,0.0003459545265821579
Batting,RandomForest,Points vs Brazil,0.0003456249481402723
Batting,RandomForest,Points vs Panama,0.0003262477941471776
Batting,RandomForest,Points vs Maldives,0.0003224289698049816
Batting,RandomForest,Points vs Croatia,0.0003214591423465109
Batting,RandomForest,Points vs Africa XI,0.0003135377036592871
Batting,RandomForest,Points vs Cayman Islands,0.00031283541200063513
Batting,RandomForest,Points vs Myanmar,0.0003110170713529609
Batting,RandomForest,Points vs Asia XI,0.0003072330743777015
Batting,RandomForest,Points vs Cambodia,0.00030411833153252016
Batting,RandomForest,Points vs Bahamas,0.0002899826276176069
Batting,RandomForest,Points vs Argentina,0.00027629513901450647
Batting,RandomForest,Points vs Ghana,0.0002745943775372653
Batting,RandomForest,Points vs Cyprus,0.00027249101100916675
Batting,RandomForest,Points vs Mozambique,0.0002671470785122151
Batting,RandomForest,Points vs Lesotho,0.00026406649553657545
Batting,RandomForest,Points vs South Korea,0.0002621388261413149
Batting,RandomForest,Points vs Barbados,0.0002562406878887557
Batting,RandomForest,Points vs China,0.00024687188094499264
Batting,RandomForest,Points vs Belize,0.00024161469911488558
Batting,RandomForest,Points vs Eswatini,0.00020993039109939196
Batting,RandomForest,Points vs Mongolia,0.00020337868680868682
Batting,RandomForest,Points vs Israel,0.0002015493890521475
Batting,RandomForest,Points vs Seychelles,0.00019161364632924694
Batting,RandomForest,Points vs Gambia,0.00018819146386475971
Batting,RandomForest,Points vs Swaziland,9.823838551716254e-05
Batting,RandomForest,Points vs Mexico,9.773736261221916e-05
Batting,RandomForest,Points vs St Helena,9.70038084153143e-05
Batting,RandomForest,Points vs Suriname,9.40858928373486e-05
Batting,RandomForest,Points vs Mali,6.896576933487924e-05
Batting,RandomForest,Points vs Chile,5.584602455957929e-05
Batting,RandomForest,Points vs Ivory Coast,4.452035481466654e-05
Batting,RandomForest,Points vs Costa Rica,4.056777366592022e-05
Batting,RandomForest,Points vs Turks and Caicos Island,3.0940338722938246e-05
Batting,RandomForest,Points vs Iran,2.0410124465424793e-05
Bowling,CatBoost,Avg Bowling Points (10),62.99668363767962
Bowling,CatBoost,Wickets,18.761618429541358
Bowling,CatBoost,Games,8.086178929978352
Bowling,CatBoost,Economy Rate,2.2366650001087875
Bowling,CatBoost,Bowling Avg,1.4670445144897042
Bowling,CatBoost,Avg Bowling Points (3),1.3791042842234529
Bowling,CatBoost,Bowling S/R,0.9046110366189413
Bowling,CatBoost,Role,0.5418303353776827
Bowling,CatBoost,Points vs Thailand,0.23702239505942563
Bowling,CatBoost,Points vs Scotland,0.22302781307287078
Bowling,CatBoost,Points vs Indonesia,0.2029821786911633
Bowling,CatBoost,Points vs Bangladesh,0.18979661236330617
Bowling,CatBoost,Points vs India,0.17845975036338602
Bowling,CatBoost,Points vs West Indies,0.1679779861156389
Bowling,CatBoost,Points vs Oman,0.14631055840755336
Bowling,CatBoost,Points vs New Zealand,0.13940058335806876
Bowling,CatBoost,Points vs England,0.11237733172067885
Bowling,CatBoost,Points vs Ireland,0.11055214459227722
Bowling,CatBoost,Points vs Zimbabwe,0.10342625150356417
Bowling,CatBoost,Points vs Uganda,0.10322836819915467
Bowling,CatBoost,Points vs United States of America,0.09529601063759627
Bowling,CatBoost,Points vs Sri Lanka,0.09517737007004466
Bowling,CatBoost,Points vs Pakistan,0.08741702531418916
Bowling,CatBoost,Points vs Germany,0.08269852161945189
Bowling,CatBoost,Points vs South Africa,0.07832984417146822
Bowling,CatBoost,Points vs Kenya,0.07464811140345377
Bowling,CatBoost,Points vs United Arab Emirates,0.0746314042626339
Bowling,CatBoost,Points vs Australia,0.07103184596128165
Bowling,CatBoost,Points vs Nigeria,0.06546791511990299
Bowling,CatBoost,Points vs Tanzania,0.06072812166384482
Bowling,CatBoost,Points vs Nepal,0.06030231859350649
Bowling,CatBoost,Points vs Cambodia,0.055470339489307456
Bowling,CatBoost,Points vs Netherlands,0.047236408541151666
Bowling,CatBoost,Points vs Papua New Guinea,0.04687740826211978
Bowling,CatBoost,Points vs Bhutan,0.04108547862958501
Bowling,CatBoost,Points vs Portugal,0.031244566030318104
Bowling,CatBoost,Points vs France,0.029926971905043915
Bowling,CatBoost,Points vs Singapore,0.02944590322198016
Bowling,CatBoost,Points vs Estonia,0.02753366936203371
Bowling,CatBoost,Points vs Botswana,0.027509532012540187
Bowling,CatBoost,Points vs Canada,0.024276775398929893
Bowling,CatBoost,Points vs Bahrain,0.02426818943257606
Bowling,CatBoost,Points vs Seychelles,0.02392324960670901
Bowling,CatBoost,Points vs Cyprus,0.023594673509498905
Bowling,CatBoost,Points vs Guernsey,0.022523071207329264
Bowling,CatBoost,Points vs Lesotho,0.02160026960744184
Bowling,CatBoost,Points vs Serbia,0.020191545918002273
Bowling,CatBoost,Points vs Philippines,0.018953786912375384
Bowling,CatBoost,Points vs Bulgaria,0.01892182131614456
Bowling,CatBoost,Points vs Mozambique,0.017758017631416042
Bowling,CatBoost,Points vs Malawi,0.017337795481700335
Bowling,CatBoost,Points vs Czech Republic,0.017334077285701206
Bowling,CatBoost,Points vs Sierra Leone,0.016469465799129595
Bowling,CatBoost,Points vs Maldives,0.015533102758518954
Bowling,CatBoost,Points vs Jersey,0.01520097034148635
Bowling,CatBoost,Points vs Norway,0.0147559537579364
Bowling,CatBoost,Points vs Belgium,0.013884855397742459
Bowling,CatBoost,Points vs Namibia,0.013780558667596298
Bowling,CatBoost,Points vs Malaysia,0.013643071283274761
Bowling,CatBoost,Points vs Eswatini,0.012830696229011562
Bowling,CatBoost,Points vs Austria,0.012822861767113218
Bowling,CatBoost,Points vs Vanuatu,0.010288687883103203
Bowling,CatBoost,Points vs Barbados,0.009257900188214931
Bowling,CatBoost,Points vs Saudi Arabia,0.009057342165034966
Bowling,CatBoost,Points vs Qatar,0.008854898513475526
Bowling,CatBoost,Points vs Hungary,0.008084687664114526
Bowling,CatBoost,Points vs Italy,0.008035298321904487
Bowling,CatBoost,Points vs Turkey,0.007694309467787344
Bowling,CatBoost,Points vs Isle of Man,0.007477732287076002
Bowling,CatBoost,Points vs Switzerland,0.007078432984188041
Bowling,CatBoost,Points vs Romania,0.006558432760763444
Bowling,CatBoost,Points vs Mongolia,0.006055190891127454
Bowling,CatBoost,Points vs Sweden,0.005372582965582364
Bowling,CatBoost,Points vs Myanmar,0.005224455496994424
Bowling,CatBoost,Points vs Bermuda,0.005212404482611975
Bowling,CatBoost,Points vs Greece,0.004955939023058669
Bowling,CatBoost,Points vs South Korea,0.003931698819276096
Bowling,CatBoost,Points vs Malta,0.0038800488077517406
Bowling,CatBoost,Points vs Rwanda,0.0036721050207556595
Bowling,CatBoost,Points vs Finland,0.003432250223063436
Bowling,CatBoost,Points vs Gibraltar,0.0026178665874492754
Bowling,CatBoost,Points vs Africa XI,0.0024951650423379328
Bowling,CatBoost,Points vs Kuwait,0.002470306249691124
Bowling,CatBoost,Points vs Samoa,0.002002708671088801
Bowling,CatBoost,Points vs Hong Kong,0.0016998424090961372
Bowling,CatBoost,Points vs Costa Rica,0.0016449001400108013
Bowling,CatBoost,Points vs Slovenia,0.0016133275416842121
Bowling,CatBoost,Points vs Brazil,0.0014756358290490014
Bowling,CatBoost,Points vs Spain,0.0012746221028949786
Bowling,CatBoost,Points vs Mali,0.001251485356416024
Bowling,CatBoost,Points vs Fiji,0.001190125401342925
Bowling,CatBoost,Points vs ICC World XI,0.0011006486032029718
Bowling,CatBoost,Points vs Gambia,0.0009657051444507304
Bowling,CatBoost,Points vs China,0.000901686944729681
Bowling,CatBoost,Points vs Luxembourg,0.0008960057539239827
Bowling,CatBoost,Points vs Israel,0.0007403458937562315
Bowling,CatBoost,Points vs Chile,0.000695338182423975
Bowling,CatBoost,Points vs Turks and Caicos Island,0.0006760978451496004
Bowling,CatBoost,Points vs Swaziland,0.0001397633381941482
Bowling,CatBoost,Points vs Panama,3.9648081214856106e-05
Bowling,CatBoost,Points vs Mexico,2.0836310107580028e-05
Bowling,CatBoost,Points vs Cameroon,1.8235598529079287e-06
Bowling,CatBoost,Points vs Asia XI,0.0
Bowling,CatBoost,Points vs Ghana,0.0
Bowling,CatBoost,Points vs St Helena,0.0
Bowling,CatBoost,Points vs Denmark,0.0
Bowling,CatBoost,Points vs Croatia,0.0
Bowling,CatBoost,Points vs Cayman Islands,0.0
Bowling,CatBoost,Points vs Argentina,0.0
Bowling,CatBoost,Points vs Bahamas,0.0
Bowling,CatBoost,Points vs Belize,0.0
Bowling,CatBoost,Points vs Japan,0.0
Bowling,CatBoost,Points vs Cook Islands,0.0
Bowling,CatBoost,Points vs Ivory Coast,0.0
Bowling,CatBoost,Points vs Iran,0.0
Bowling,CatBoost,Points vs Suriname,0.0
Bowling,RandomForest,Avg Bowling Points (10),0.24637910438267493
Bowling,RandomForest,Wickets,0.17159665994470705
Bowling,RandomForest,Avg Bowling Points (3),0.170197966879852
Bowling,RandomForest,Economy Rate,0.06600110893161698
Bowling,RandomForest,Bowling S/R,0.06500578445264449
Bowling,RandomForest,Bowling Avg,0.06277683281453167
